timestamp,cpu_percent,mem_mb,num_threads,open_files
2025-04-09 15:13:35,0.00,18.86,2,1
2025-04-09 15:13:36,0.00,18.91,2,1
2025-04-09 15:13:37,0.10,18.98,2,1
2025-04-09 15:13:38,0.10,19.06,2,1
2025-04-09 15:13:39,0.10,19.14,2,1
2025-04-09 15:13:40,0.10,19.22,2,1
2025-04-09 15:13:41,0.10,19.22,2,1
2025-04-09 15:13:42,0.00,19.30,2,1
2025-04-09 15:13:43,0.10,19.30,2,1
2025-04-09 15:13:44,0.10,19.30,2,1
2025-04-09 15:13:45,2.20,21.14,47,1
2025-04-09 15:13:46,1.00,21.38,52,1
2025-04-09 15:13:47,0.80,21.39,52,1
2025-04-09 15:13:48,0.90,21.45,54,1
2025-04-09 15:13:49,2.40,22.75,90,1
2025-04-09 15:13:50,1.50,23.00,96,1
2025-04-09 15:13:51,1.60,23.31,105,1
2025-04-09 15:13:52,2.70,24.39,133,1
2025-04-09 15:13:53,2.60,25.08,152,1
2025-04-09 15:13:54,1.80,25.11,152,1
2025-04-09 15:13:55,1.80,25.11,152,1
2025-04-09 15:13:56,1.80,25.11,152,1
2025-04-09 15:13:57,1.80,25.11,152,1
2025-04-09 15:13:59,1.80,25.12,152,1
2025-04-09 15:14:00,1.90,25.14,152,1
2025-04-09 15:14:01,2.00,25.16,152,1
2025-04-09 15:14:02,2.00,25.16,152,1
2025-04-09 15:14:03,2.20,25.16,152,1
2025-04-09 15:14:04,2.10,25.16,152,1
2025-04-09 15:14:05,2.10,25.16,152,1
2025-04-09 15:14:06,2.20,25.16,152,1
2025-04-09 15:14:07,2.30,25.17,152,1
2025-04-09 15:14:08,2.50,25.19,152,1
2025-04-09 15:14:09,2.40,25.19,152,1
2025-04-09 15:14:10,2.70,25.19,152,1
2025-04-09 15:14:11,2.70,25.20,152,1
2025-04-09 15:14:12,2.70,25.22,152,1
2025-04-09 15:14:13,2.70,25.22,152,1
2025-04-09 15:14:14,13.30,25.80,107,1
2025-04-09 15:14:15,3.30,25.64,102,1
2025-04-09 15:14:16,1.70,25.64,102,1
2025-04-09 15:14:17,1.70,25.64,102,1
2025-04-09 15:14:18,1.80,25.64,102,1
2025-04-09 15:14:19,1.80,25.64,102,1
2025-04-09 15:14:20,1.90,25.64,102,1
2025-04-09 15:14:21,2.30,25.89,110,1
2025-04-09 15:14:22,3.90,27.14,150,1
2025-04-09 15:14:23,2.40,27.22,152,1
2025-04-09 15:14:24,2.30,27.22,152,1
2025-04-09 15:14:25,3.90,28.39,186,1
2025-04-09 15:14:26,3.10,28.89,199,1
2025-04-09 15:14:27,2.70,29.02,202,1
2025-04-09 15:14:28,2.60,29.03,202,1
2025-04-09 15:14:29,2.70,29.05,202,1
2025-04-09 15:14:30,2.80,29.05,202,1
2025-04-09 15:14:31,2.70,29.06,202,1
2025-04-09 15:14:32,2.70,29.06,202,1
2025-04-09 15:14:33,2.70,29.06,202,1
2025-04-09 15:14:34,2.70,29.08,202,1
2025-04-09 15:14:35,2.60,29.08,202,1
2025-04-09 15:14:36,2.80,29.08,202,1
2025-04-09 15:14:37,2.70,29.08,202,1
2025-04-09 15:14:38,2.70,29.08,202,1
2025-04-09 15:14:39,3.10,29.08,202,1
2025-04-09 15:14:40,2.90,29.08,202,1
2025-04-09 15:14:41,3.10,29.09,202,1
2025-04-09 15:14:42,4.70,30.00,228,1
2025-04-09 15:14:43,4.70,30.84,252,1
2025-04-09 15:14:44,3.60,30.91,252,1
2025-04-09 15:14:45,3.70,30.92,252,1
2025-04-09 15:14:46,3.10,30.92,252,1
2025-04-09 15:14:47,3.00,30.92,252,1
2025-04-09 15:14:48,2.90,30.94,252,1
